,index,Released,English title,TMDB_id
311,31,1992-03-13,Article 99,25269
312,32,1992-03-13,Howards End,8293
313,33,1992-03-13,My Cousin Vinny,10377
314,35,1992-03-20,Basic Instinct,402
315,36,1992-03-20,Noises Off,26670
316,40,1992-03-27,The Cutting Edge,16562
317,41,1992-03-27,Ladybugs,19087
318,42,1992-03-27,The Power of One,13823
319,43,1992-03-27,Ruby,70709
320,44,1992-03-27,White Men Can't Jump,10158
321,45,1992-03-28,The Last of His Tribe,412296
322,0,1992-04-03,Beethoven,11806
323,2,1992-04-03,Straight Talk,37264
324,3,1992-04-03,Thunderheart,12395
325,5,1992-04-10,FernGully: The Last Rainforest,13225
326,6,1992-04-10,Newsies,15300
327,8,1992-04-10,Sleepwalkers,11428
328,9,1992-04-17,The Babe,61225
329,11,1992-04-17,Brain Donors,32450
330,14,1992-04-22,The Playboys,41774
331,15,1992-04-24,A Midnight Clear,23908
332,17,1992-04-24,Passed Away,62383
333,18,1992-04-24,White Sands,19380
334,19,1992-04-24,Year of the Comet,44941
335,20,1992-05-01,Folks!,18495
336,24,1992-05-01,Split Second,13006
337,25,1992-05-08,Big Girls Don't Cry... They Get Even,46972
338,26,1992-05-08,CrissCross,70423
339,28,1992-05-08,One False Move,21128
340,29,1992-05-08,Poison Ivy,9264
341,30,1992-05-13,The Waterdance,61418
342,31,1992-05-15,Lethal Weapon 3,943
343,32,1992-05-15,Monster in a Box,34328
344,33,1992-05-22,Alien 3,8077
345,34,1992-05-22,Encino Man,10406
346,35,1992-05-22,Far and Away,11259
347,38,1992-05-29,Cold Heaven,107254
348,39,1992-05-29,Cousin Bobby,41675
349,41,1992-05-30,Afterburn,131351
350,42,1992-06-04,Stepfather III,61964
351,43,1992-06-05,Class Act,30963
352,45,1992-06-12,Housesitter,10407
353,47,1992-06-19,Batman Returns,364
354,49,1992-06-20,A Private Matter,142751
355,51,1992-06-26,Unlawful Entry,17494
356,1,1992-07-01,A League of Their Own,11287
357,3,1992-07-10,Cool World,14239
358,4,1992-07-10,Prelude to a Kiss,2613
359,5,1992-07-10,Universal Soldier,9349
360,6,1992-07-11,The Comrades of Summer,303728
361,8,1992-07-17,Man Trouble,39472
362,9,1992-07-17,A Stranger Among Us,41670
363,10,1992-07-24,Mistress,71825
364,11,1992-07-24,Mo' Money,12251
365,12,1992-07-24,Mom and Dad Save the World,27295
366,13,1992-07-31,Bébé's Kids,36616
367,17,1992-08-07,3 Ninjas,16314
368,19,1992-08-07,Raising Cain,13937
369,20,1992-08-07,Unforgiven,33
370,22,1992-08-14,Diggstown,19143
371,24,1992-08-14,Single White Female,9605
372,25,1992-08-14,Stay Tuned,23939
373,27,1992-08-21,The Gun in Betty Lou's Handbag,47898
374,28,1992-08-21,Light Sleeper,36351
375,30,1992-08-21,Rapid Fire,13153
376,31,1992-08-22,Citizen Cohn,75145
377,33,1992-08-26,Storyville,135890
378,35,1992-08-28,Honeymoon in Vegas,12518
379,36,1992-08-28,Pet Sematary Two,10906
380,38,1992-09-04,Bob Roberts,10608
381,39,1992-09-04,Out on a Limb,114726
382,41,1992-09-11,Crossing the Bridge,186809
383,42,1992-09-11,Hellraiser III: Hell on Earth,11569
384,44,1992-09-11,Swoon,54934
385,45,1992-09-11,Where the Day Takes You,17736
386,46,1992-09-11,Wind,28881
387,47,1992-09-12,Teamster Boss: The Jackie Presser Story,427991
388,48,1992-09-18,Captain Ron,14361
389,49,1992-09-18,Husbands and Wives,28384
390,50,1992-09-18,Peter's Friends,11790
391,51,1992-09-18,Sarafina!,35936
392,52,1992-09-18,School Ties,14684
393,53,1992-09-18,Singles,11068
394,54,1992-09-18,South Central,23196
395,55,1992-09-25,Innocent Blood,27381
396,1,1992-10-02,Hero,10699
397,2,1992-10-02,The Mighty Ducks,10414
398,5,1992-10-04,Running Mates,59390
399,6,1992-10-09,1492: Conquest of Paradise,1492
400,7,1992-10-09,A River Runs Through It,293
401,9,1992-10-16,Candyman,9529
402,10,1992-10-16,Consenting Adults,37753
403,12,1992-10-16,The Public Eye,31692
404,13,1992-10-23,Dr. Giggles,37527
405,14,1992-10-23,Frozen Assets,117773
406,15,1992-10-23,Pure Country,22627
407,17,1992-10-23,Zebrahead,70489
408,18,1992-10-26,My New Gun,55730
409,20,1992-10-30,There Goes the Neighborhood,163228
410,22,1992-11-06,Jennifer 8,10424
411,23,1992-11-06,Passenger 57,10538
412,25,1992-11-13,Bram Stoker's Dracula,6114
413,26,1992-11-13,Love Potion No. 9,26255
414,28,1992-11-18,Malcolm X,1883
415,29,1992-11-20,Bad Lieutenant,12143
416,31,1992-11-20,Samantha,180582
417,32,1992-11-21,Stalin,56448
418,33,1992-11-25,Aladdin,812
419,34,1992-11-25,The Bodyguard,619
420,36,1992-12-02,Damage,11012
421,37,1992-12-04,The Distinguished Gentleman,10411
422,38,1992-12-11,A Few Good Men,881
423,41,1992-12-11,Passion Fish,41768
424,43,1992-12-16,Used People,41779
425,44,1992-12-18,Leap of Faith,12772
426,45,1992-12-18,Toys,11597
427,47,1992-12-23,Scent of a Woman,9475
428,49,1992-12-25,Hoffa,10410
429,50,1992-12-25,Trespass,22004
430,51,1992-12-30,Lorenzo's Oil,2007
431,0,1993-01-08,Leprechaun,11811
432,1,1993-01-15,Alive,7305
433,2,1993-01-15,Body of Evidence,2149
434,3,1993-01-15,Nowhere to Run,10413
435,4,1993-01-22,Aspen Extreme,16370
436,5,1993-01-22,Hexed,75686
437,7,1993-01-29,Matinee,25389
438,8,1993-01-29,Sniper,9545
439,9,1993-01-30,Blind Side,60505
440,10,1993-02-03,The Cemetery Club,79888
441,11,1993-02-03,Homeward Bound: The Incredible Journey,6878
442,13,1993-02-05,Sommersby,1049
443,14,1993-02-05,The Vanishing,1644
444,18,1993-02-12,The Temp,17168
445,19,1993-02-12,Untamed Heart,26333
446,25,1993-02-26,Falling Down,37094
447,26,1993-03-05,Amos & Andrew,31000
448,27,1993-03-05,Best of the Best 2,32049
449,28,1993-03-05,Mad Dog and Glory,10433
450,31,1993-03-05,Swing Kids,10419
451,32,1993-03-12,CB4,15278
452,33,1993-03-12,A Far Off Place,24736
453,34,1993-03-12,Fire in the Sky,15613
454,35,1993-03-19,Just Another Girl on the I.R.T.,124088
455,36,1993-03-19,Point of No Return,10498
456,38,1993-03-20,Barbarians at the Gate,27678
457,39,1993-03-26,Born Yesterday,44968
458,40,1993-03-26,Hear No Evil,71140
459,0,1993-04-02,The Adventures of Huck Finn,34723
460,1,1993-04-02,Cop and a Half,12574
461,2,1993-04-02,The Crush,33408
462,3,1993-04-02,Jack the Bear,38749
463,4,1993-04-04,When a Stranger Calls Back,30554
464,5,1993-04-07,Indecent Proposal,4478
465,6,1993-04-07,The Sandlot,11528
466,7,1993-04-09,"Bodies, Rest & Motion",47676
467,9,1993-04-10,The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom,67595
468,10,1993-04-16,Benny & Joon,4104
469,11,1993-04-16,Boiling Point,22213
470,12,1993-04-16,Wide Sargasso Sea,41667
471,13,1993-04-23,The Dark Half,10349
