,index,Released,English title,TMDB_id
503,38,1975-06-10,Love and Death,11686
504,39,1975-06-11,Nashville,3121
505,45,1975-06-20,Jaws,578
506,46,1975-06-20,Once Is Not Enough,97831
507,49,1975-06-25,Cooley High,35711
508,50,1975-06-25,Rollerball,11484
509,0,1975-07-01,The Apple Dumpling Gang,18660
510,1,1975-07-02,Bucktown,87774
511,4,1975-07-09,One of Our Dinosaurs is Missing,29694
512,5,1975-07-09,Smile,42264
513,7,1975-07-11,Cleopatra Jones and the Casino of Gold,2139
514,8,1975-07-16,White Line Fever,42267
515,10,1975-07-23,Return to Macon County,42263
516,21,1975-08-07,That Lucky Touch,418305
517,22,1975-08-08,"Farewell, My Lovely",1835
518,27,1975-08-14,The Rocky Horror Picture Show,36685
519,28,1975-08-20,Coonskin,27716
520,32,1975-09-10,Mitchell,32303
521,35,1975-09-21,Dog Day Afternoon,968
522,0,1975-10-03,The Master Gunfighter,95555
523,3,1975-10-08,Hearts of the West,84259
524,4,1975-10-08,Mahogany,3554
525,5,1975-10-10,Lisztomania,67298
526,6,1975-10-10,Royal Flash,54302
527,8,1975-10-11,Let's Do It Again,29473
528,11,1975-10-15,Whiffs,180929
529,13,1975-10-19,Hester Street,42257
530,14,1975-10-22,Diamonds,107325
531,16,1975-10-29,Take a Hard Ride,44697
532,17,1975-11-05,Challenge to Be Free,132067
533,20,1975-11-05,Winterhawk,143516
534,22,1975-11-06,The Sunshine Boys,16561
535,24,1975-11-13,Inn of the Damned,5730
536,26,1975-11-19,"The ""Human"" Factor",31950
537,28,1975-11-19,One Flew Over the Cuckoo's Nest,510
538,30,1975-11-21,Mackintosh and T.J.,537629
539,36,1975-12-03,Peeper,105882
540,40,1975-12-14,The Adventure of Sherlock Holmes' Smarter Brother,29859
541,41,1975-12-14,Deadly Hero,83972
542,43,1975-12-15,Emmanuelle 2,28209
543,45,1975-12-18,Barry Lyndon,3175
544,47,1975-12-19,The Adventures of the Wilderness Family,28994
545,48,1975-12-19,Bugs Bunny: Superstar,147742
546,50,1975-12-19,The Killer Elite,31604
547,53,1975-12-25,Aaron Loves Angela,201283
548,54,1975-12-25,The Black Bird,91554
549,56,1975-12-25,Friday Foster,56539
550,57,1975-12-25,The Hindenburg,17599
551,58,1975-12-25,Hustle,4990
552,59,1975-12-25,Lucky Lady,78353
553,1,1976-01-14,Killer Force,82962
554,4,1976-02-04,"Next Stop, Greenwich Village",31913
555,5,1976-02-06,Echoes of a Summer,87629
556,6,1976-02-09,Taxi Driver,103
557,8,1976-02-11,Gable and Lombard,96696
558,12,1976-02-15,The Killing of a Chinese Bookie,32040
559,13,1976-02-19,Grey Gardens,17346
560,14,1976-02-27,Griffin and Phoenix,252735
561,16,1976-03-05,Black Shampoo,22020
562,18,1976-03-11,Robin and Marian,10786
563,22,1976-03-18,The Man Who Fell to Earth,991
564,24,1976-03-25,The Slipper and the Rose,16176
565,27,1976-03-26,Sky Riders,42551
566,28,1976-03-31,W.C. Fields and Me,49914
567,1,1976-04-01,The Duchess and the Dirtwater Fox,54613
568,2,1976-04-02,Lipstick,59809
569,3,1976-04-05,The Blue Bird,100922
570,5,1976-04-07,Sparkle,21554
571,6,1976-04-09,All the President's Men,891
572,7,1976-04-09,Family Plot,5854
573,9,1976-04-11,The Sailor Who Fell from Grace with the Sea,92298
574,10,1976-04-14,The River Niger,57741
575,12,1976-04-23,Stay Hungry,5228
576,13,1976-04-25,Hollywood Boulevard,29856
577,14,1976-05-05,Baby Blue Marine,83864
578,17,1976-05-16,"That's Entertainment, Part II",74719
579,18,1976-05-19,The Missouri Breaks,42252
580,19,1976-05-19,The Premonition,139349
581,21,1976-05-21,Embryo,113525
582,23,1976-05-26,Drive-In,85551
583,24,1976-05-26,"Mother, Jugs & Speed",26176
584,26,1976-05-28,Leadbelly,63773
585,28,1976-05-28,Shoot,85022
586,31,1976-06-02,Breaking Point,71320
587,33,1976-06-04,Ode to Billy Joe,42239
588,36,1976-06-17,Harry and Walter Go to New York,149445
589,37,1976-06-17,Silent Movie,10970
590,38,1976-06-18,The Food of the Gods,42245
591,39,1976-06-18,Midway,11422
592,41,1976-06-23,The Big Bus,19133
593,42,1976-06-23,The Great Scout & Cathouse Thursday,50953
594,43,1976-06-23,Logan's Run,10803
595,44,1976-06-23,Murder by Death,6037
596,45,1976-06-24,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",42233
597,46,1976-06-25,The Omen,794
598,48,1976-06-30,The Outlaw Josey Wales,10747
599,0,1976-07-01,To Fly!,195012
600,1,1976-07-01,Treasure of Matecumbe,63438
601,2,1976-07-06,Cannonball,21241
602,3,1976-07-07,Gus,20639
