,Released,English title,Genre,Score,Popularity,Overview,Or_lan,Actor_1_name,Actor_1_popu,Actor_2_name,Actor_2_popu,Actor_3_name,Actor_3_popu
40,2013-12-25,Nymphomaniac, Drama Mystery,6.7,67.301,The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,en,Charlotte Gainsbourg,25.855,Stellan Skarsgård,65.024,Shia LaBeouf,42.42
41,2013-12-25,The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared, Adventure Comedy Drama,6.8,12.588,"After living a long and colorful life, Allan Karlsson finds himself stuck in a nursing home. On his 100th birthday, he leaps out a window and begins an unexpected journey.",sv,Robert Gustafsson,9.914,Iwar Wiklander,5.858,David Wiberg,3.286
42,2014-04-04,In the Blood, Action Crime Thriller,5.866,16.458,"When her husband goes missing during their Caribbean vacation, a woman sets off on her own to take down the men she thinks are responsible.",en,Gina Carano,22.568,Cam Gigandet,20.021,Luis Guzmán,49.096
43,2014-04-17,Let Us Prey, Thriller Horror,5.663,11.886,"Rachel, a rookie cop, is about to begin her first night shift in a neglected police station in a Scottish, backwater town. The kind of place where the tide has gone out and stranded a motley bunch of the aimless, the forgotten, the bitter-and-twisted who all think that, really, they deserve to be somewhere else. They all think they're there by accident and that, with a little luck, life is going to get better. Wrong, on both counts. Six is about to arrive - and All Hell Will Break Loose!",en,Liam Cunningham,31.557,Niall Greig Fulton,9.0,Pollyanna McIntosh,26.151
44,2014-04-26,"27, Memory Lane", Drama Fantasy Romance,6.0,2.092,A divorced doctor is gifted a bespoke door that sends him back 25 years in search of the only woman he ever loved.,en,Eileen Page,6.033,Diona Doherty,2.429,James Clay,2.891
45,2014-05-21,Snow in Paradise, Thriller,4.4,13.3,Hard-hitting character study that's based on the real story of one man's journey to control his violence through religion. It takes us from the blood soaked East End of London to the world of the Islamic whirling dervishes.,en,Frederick Schmidt,18.89,Martin Askew,3.872,David Spinx,2.905
46,2014-05-23,Postman Pat: The Movie, Family Comedy Animation,5.044,13.595,"Like always, Postman Pat is happily going about his duty delivering letters and parcels around the fictional town of Greendale. One day, auditions for the TV talent show, ""You're the One"", are held in Greendale, which Pat manages to pass. With Pat required to be away from Greendale whilst participating in the contest, various Patbot 3000 robots are deployed to take Pat's postal duties. This soon turns out to be an evil plot to take over the world, which Pat must now stop.",en,Stephen Mangan,11.158,Jim Broadbent,29.991,Rupert Grint,31.447
47,2014-05-28,Maleficent, Fantasy Adventure Action Family Romance,7.095,64.21,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. She rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom – and to Maleficent's true happiness as well.",en,Angelina Jolie,70.267,Elle Fanning,39.406,Imelda Staunton,30.818
48,2014-05-30,Downhill, Comedy,8.0,2.148,"Four old school friends reunite to attempt the epic coast to coast walk, across the United Kingdom. As their journey unfolds, this comically incompatible foursome walk full tilt into their mid-life crises.",en,Ned Dennehy,19.531,Jeremy Swift,18.031,Karl Theobald,6.454
49,2014-06-13,Tamanna, Crime Drama Thriller,5.667,1.888,"The story of a struggling actor who meets Mian Tariq Ali, a relic of the once thriving film industry. The struggling actor is there to convince Ali to divorce his wife. A contest of male dominance between the two men ensues, starting quite reasonably, playfully even, but eventually turning angry and violent.",ur,Omair Rana,2.241,Salman Shahid,4.677,Mehreen Raheel,1.608
50,2014-06-19,The Anomaly, Thriller Action Science Fiction,4.913,19.293,A former soldier is taken captive and awakens in the back of a van where he learns that he only has less than 10 minutes to figure out how he got there.,en,Alexis Knapp,31.117,Victoria Broom,5.307,Brian Cox,24.002
51,2014-06-20,Hide and Seek, Romance Drama,4.9,6.976,"Four fragile young people flee London to start an unconventional utopia, creating a world of fantasy that overwhelms them.",en,Josh O'Connor,20.622,Hannah Arterton,10.526,Rea Mole,1.4
52,2014-06-24,The Guvnors, Crime Thriller,5.2,11.815,"The Guvnors is a violent thriller set amongst the clans and firms of South East London, bringing two generations together in brutal conflict.",en,Harley Sylvester,2.188,Doug Allen,8.002,Jay Simpson,14.029
53,2014-06-27,Mrs. Brown's Boys D'Movie, Comedy,5.294,8.428,"When Moore Street market-trader Agnes Brown finds her livelihood under threat from a ruthless developer, she and her family embark on a campaign to save her stall, aided as only the Browns will be by a motley troop of blind trainee Ninjas, an alcoholic solicitor, and a barrister with Tourettes Syndrome.",en,Brendan O'Carroll,15.564,Jennifer Gibney,6.189,Eilish O'Carroll,3.367
